dt,true_y,pred_y,year,month,day
2014-03-27 15:00:00+09:00,3.76,7.878716049170383,2014,3,2014-03-27
2014-03-28 15:00:00+09:00,5.81,8.486561185059774,2014,3,2014-03-28
2014-03-29 15:00:00+09:00,0.38,1.655147789082539,2014,3,2014-03-29
2014-03-30 15:00:00+09:00,6.42,8.437470207186205,2014,3,2014-03-30
2014-03-31 15:00:00+09:00,2.96,4.6728757587737535,2014,3,2014-03-31
2014-04-01 15:00:00+09:00,6.08,8.08480211293271,2014,4,2014-04-01
2014-04-02 15:00:00+09:00,4.53,7.266219048741363,2014,4,2014-04-02
2014-04-03 15:00:00+09:00,0.48,3.317466129252625,2014,4,2014-04-03
2014-04-04 15:00:00+09:00,6.33,6.042218952922085,2014,4,2014-04-04
2014-04-05 15:00:00+09:00,1.23,4.961104477447473,2014,4,2014-04-05
2014-04-06 15:00:00+09:00,7.31,8.13519608325777,2014,4,2014-04-06
2014-04-07 15:00:00+09:00,4.51,7.831457540011868,2014,4,2014-04-07
2014-04-08 15:00:00+09:00,6.27,7.632190746795358,2014,4,2014-04-08
2014-04-09 15:00:00+09:00,5.69,7.645218879232992,2014,4,2014-04-09
2014-04-10 15:00:00+09:00,4.84,7.47590355727592,2014,4,2014-04-10
2014-04-11 15:00:00+09:00,4.17,6.15420150847654,2014,4,2014-04-11
2014-04-12 15:00:00+09:00,0.63,1.9201227259713258,2014,4,2014-04-12
2014-04-15 15:00:00+09:00,3.45,5.970852573348773,2014,4,2014-04-15
2014-04-16 15:00:00+09:00,3.96,4.8194292402735,2014,4,2014-04-16
2014-04-17 15:00:00+09:00,0.96,3.265070333701168,2014,4,2014-04-17
2014-04-18 15:00:00+09:00,4.95,6.713848429372066,2014,4,2014-04-18
2014-04-19 15:00:00+09:00,1.69,3.76551545290268,2014,4,2014-04-19
2014-04-20 15:00:00+09:00,5.53,6.613465721285009,2014,4,2014-04-20
2014-04-21 15:00:00+09:00,4.53,5.206770082969978,2014,4,2014-04-21
2014-04-22 15:00:00+09:00,4.72,4.490666509684521,2014,4,2014-04-22
2014-04-23 15:00:00+09:00,4.91,6.278646830725999,2014,4,2014-04-23
2014-04-24 15:00:00+09:00,3.7,5.933389315259039,2014,4,2014-04-24
2014-04-25 15:00:00+09:00,4.85,6.096521856434131,2014,4,2014-04-25
2014-04-26 15:00:00+09:00,3.66,5.4574945498737994,2014,4,2014-04-26
2014-04-28 15:00:00+09:00,0.8,2.4025869463324656,2014,4,2014-04-28
2014-04-29 15:00:00+09:00,1.47,3.695210766784386,2014,4,2014-04-29
2014-04-30 15:00:00+09:00,0.93,3.0989199670880176,2014,4,2014-04-30
2014-05-01 15:00:00+09:00,4.81,5.781759890170099,2014,5,2014-05-01
2014-05-02 15:00:00+09:00,1.77,3.679731354369767,2014,5,2014-05-02
2014-05-03 15:00:00+09:00,5.18,5.7078241219002654,2014,5,2014-05-03
2014-05-04 15:00:00+09:00,4.01,5.381924372333724,2014,5,2014-05-04
2014-05-05 15:00:00+09:00,4.99,5.700933117599313,2014,5,2014-05-05
2014-05-06 15:00:00+09:00,4.79,5.55181767837366,2014,5,2014-05-06
2014-05-07 15:00:00+09:00,4.07,5.443328634706282,2014,5,2014-05-07
2014-05-08 15:00:00+09:00,4.48,4.897791995060072,2014,5,2014-05-08
2014-05-09 15:00:00+09:00,4.42,5.222544787981999,2014,5,2014-05-09
2014-05-10 15:00:00+09:00,4.42,5.098054009919121,2014,5,2014-05-10
2014-05-11 15:00:00+09:00,1.0,3.296867781491553,2014,5,2014-05-11
2014-05-12 15:00:00+09:00,4.31,5.2496149735180255,2014,5,2014-05-12
2014-05-13 15:00:00+09:00,3.83,5.0408706020781535,2014,5,2014-05-13
2014-05-14 15:00:00+09:00,4.18,4.918832582749492,2014,5,2014-05-14
2014-05-16 15:00:00+09:00,3.95,4.839776789700818,2014,5,2014-05-16
2014-05-17 15:00:00+09:00,3.97,4.694978520168045,2014,5,2014-05-17
2014-05-18 15:00:00+09:00,3.65,4.8891591368651515,2014,5,2014-05-18
2014-05-19 15:00:00+09:00,0.84,4.640588123754576,2014,5,2014-05-19
2014-05-20 15:00:00+09:00,3.56,4.717228046963074,2014,5,2014-05-20
2014-05-21 15:00:00+09:00,3.65,4.717341288412952,2014,5,2014-05-21
2014-05-22 15:00:00+09:00,3.72,4.5391178258905445,2014,5,2014-05-22
2014-05-23 15:00:00+09:00,3.35,4.6389755518125835,2014,5,2014-05-23
2014-05-24 15:00:00+09:00,1.44,3.8382249070156766,2014,5,2014-05-24
2014-05-25 15:00:00+09:00,0.48,1.3716891323002023,2014,5,2014-05-25
2014-05-26 15:00:00+09:00,3.62,4.522132286458191,2014,5,2014-05-26
2014-05-27 15:00:00+09:00,3.59,4.493960971698916,2014,5,2014-05-27
2014-05-29 15:00:00+09:00,3.43,4.263619487382617,2014,5,2014-05-29
2014-05-30 15:00:00+09:00,3.4,4.228648288812233,2014,5,2014-05-30
2014-05-31 15:00:00+09:00,3.1,4.169558228587367,2014,5,2014-05-31
2014-06-01 15:00:00+09:00,1.64,3.911455814556696,2014,6,2014-06-01
2014-06-02 15:00:00+09:00,1.31,3.561075572214152,2014,6,2014-06-02
2014-06-04 15:00:00+09:00,2.78,4.060448970548014,2014,6,2014-06-04
2014-06-05 15:00:00+09:00,1.05,3.3098225116785054,2014,6,2014-06-05
2014-06-06 15:00:00+09:00,2.76,4.186519250166328,2014,6,2014-06-06
2014-06-07 15:00:00+09:00,2.46,3.84667891578779,2014,6,2014-06-07
2014-06-09 15:00:00+09:00,3.49,4.351772030199223,2014,6,2014-06-09
2014-06-10 15:00:00+09:00,2.12,4.203046572755622,2014,6,2014-06-10
2014-06-11 15:00:00+09:00,2.5,3.7617028971808844,2014,6,2014-06-11
2014-06-12 15:00:00+09:00,3.08,4.104340789596272,2014,6,2014-06-12
2014-06-13 15:00:00+09:00,3.63,4.206129341023204,2014,6,2014-06-13
2014-06-14 15:00:00+09:00,3.34,4.0897518951067475,2014,6,2014-06-14
2014-06-15 15:00:00+09:00,3.31,4.05537957061552,2014,6,2014-06-15
2014-06-16 15:00:00+09:00,2.86,4.2909895537424845,2014,6,2014-06-16
2014-06-17 15:00:00+09:00,3.0,4.277184887084797,2014,6,2014-06-17
2014-06-18 15:00:00+09:00,3.38,3.8209437403115265,2014,6,2014-06-18
2014-06-19 15:00:00+09:00,2.23,4.450144739318327,2014,6,2014-06-19
2014-06-20 15:00:00+09:00,1.01,3.8314116979682864,2014,6,2014-06-20
2014-06-21 15:00:00+09:00,2.59,3.8581040560581066,2014,6,2014-06-21
2014-06-22 15:00:00+09:00,2.78,2.645385334841611,2014,6,2014-06-22
2014-06-23 15:00:00+09:00,1.03,4.114573963891449,2014,6,2014-06-23
2014-06-25 15:00:00+09:00,2.75,4.36242810222168,2014,6,2014-06-25
2014-06-26 15:00:00+09:00,3.38,4.395549046750475,2014,6,2014-06-26
2014-06-27 15:00:00+09:00,3.62,4.096370276917826,2014,6,2014-06-27
2014-06-29 15:00:00+09:00,3.54,3.8663979372670623,2014,6,2014-06-29
2014-06-30 15:00:00+09:00,3.75,4.454803312948561,2014,6,2014-06-30
2014-07-01 15:00:00+09:00,2.25,4.329654667032168,2014,7,2014-07-01
2014-07-02 15:00:00+09:00,3.23,4.019379803713994,2014,7,2014-07-02
2014-07-03 15:00:00+09:00,1.25,3.0667756486919586,2014,7,2014-07-03
2014-07-04 15:00:00+09:00,2.75,4.17801069900191,2014,7,2014-07-04
2014-07-05 15:00:00+09:00,1.8,3.944591278785429,2014,7,2014-07-05
2014-07-06 15:00:00+09:00,3.8,4.290692209361114,2014,7,2014-07-06
2014-07-07 15:00:00+09:00,3.34,4.182282395143734,2014,7,2014-07-07
2014-07-08 15:00:00+09:00,2.55,4.088528349459883,2014,7,2014-07-08
2014-07-09 15:00:00+09:00,0.42,1.6644152493718132,2014,7,2014-07-09
2014-07-10 15:00:00+09:00,3.53,4.384628573909379,2014,7,2014-07-10
2014-07-11 15:00:00+09:00,3.45,4.311804884964866,2014,7,2014-07-11
2014-07-12 15:00:00+09:00,1.99,4.410470080922853,2014,7,2014-07-12
2014-07-13 15:00:00+09:00,3.71,4.5122643911314775,2014,7,2014-07-13
2014-07-14 15:00:00+09:00,3.82,4.48769376641844,2014,7,2014-07-14
2014-07-15 15:00:00+09:00,1.84,4.5865274093396255,2014,7,2014-07-15
2014-07-16 15:00:00+09:00,2.69,4.029122941419077,2014,7,2014-07-16
2014-07-17 15:00:00+09:00,1.88,3.6056649959030915,2014,7,2014-07-17
2014-07-18 15:00:00+09:00,3.59,4.744225901402436,2014,7,2014-07-18
2014-07-19 15:00:00+09:00,3.06,3.563699220919567,2014,7,2014-07-19
2014-07-20 15:00:00+09:00,3.03,4.3922228421792235,2014,7,2014-07-20
2014-07-21 15:00:00+09:00,3.34,4.190155286517086,2014,7,2014-07-21
2014-07-22 15:00:00+09:00,0.44,1.5774491581825396,2014,7,2014-07-22
2014-07-23 15:00:00+09:00,1.27,3.18595765511838,2014,7,2014-07-23
2014-07-24 15:00:00+09:00,1.65,4.21169243167849,2014,7,2014-07-24
2014-07-25 15:00:00+09:00,2.4,4.78810146958554,2014,7,2014-07-25
2014-07-26 15:00:00+09:00,0.47,1.078885456945026,2014,7,2014-07-26
2014-07-27 15:00:00+09:00,3.42,4.776927165522924,2014,7,2014-07-27
2014-07-29 15:00:00+09:00,4.37,4.954531277624906,2014,7,2014-07-29
2014-07-30 15:00:00+09:00,3.75,4.459292580561471,2014,7,2014-07-30
2014-07-31 15:00:00+09:00,2.63,4.413816890097932,2014,7,2014-07-31
2014-08-01 15:00:00+09:00,2.35,4.059215191233868,2014,8,2014-08-01
2014-08-02 15:00:00+09:00,2.76,3.6244161961673607,2014,8,2014-08-02
2014-08-03 15:00:00+09:00,0.46,1.857970922828681,2014,8,2014-08-03
2014-08-04 15:00:00+09:00,2.41,3.1794246737685827,2014,8,2014-08-04
2014-08-05 15:00:00+09:00,2.79,3.6080668668434206,2014,8,2014-08-05
2014-08-06 15:00:00+09:00,0.39,2.335652817927014,2014,8,2014-08-06
2014-08-07 15:00:00+09:00,1.97,2.4152559433504917,2014,8,2014-08-07
2014-08-08 15:00:00+09:00,4.06,4.611546677937807,2014,8,2014-08-08
2014-08-09 15:00:00+09:00,4.79,5.2430212398125855,2014,8,2014-08-09
2014-08-10 15:00:00+09:00,0.75,2.76752275939866,2014,8,2014-08-10
2014-08-11 15:00:00+09:00,3.65,5.417203054300813,2014,8,2014-08-11
2014-08-12 15:00:00+09:00,4.03,5.491595601772959,2014,8,2014-08-12
2014-08-13 15:00:00+09:00,1.01,2.7993464421114824,2014,8,2014-08-13
2014-08-14 15:00:00+09:00,0.51,1.5958587805589457,2014,8,2014-08-14
2014-08-15 15:00:00+09:00,2.1,2.955873093937152,2014,8,2014-08-15
2014-08-16 15:00:00+09:00,3.83,4.721864627907383,2014,8,2014-08-16
2014-08-17 15:00:00+09:00,0.53,2.1225999934752777,2014,8,2014-08-17
2014-08-18 15:00:00+09:00,0.89,2.8835853972499645,2014,8,2014-08-18
2014-08-19 15:00:00+09:00,0.77,2.9025687063572136,2014,8,2014-08-19
2014-08-20 15:00:00+09:00,3.93,3.9891877042644515,2014,8,2014-08-20
2014-08-21 15:00:00+09:00,1.05,2.104652856067609,2014,8,2014-08-21
2014-08-22 15:00:00+09:00,2.97,5.154862970729961,2014,8,2014-08-22
2014-08-23 15:00:00+09:00,7.02,4.306505889456958,2014,8,2014-08-23
2014-08-24 15:00:00+09:00,1.68,4.118100535656634,2014,8,2014-08-24
2014-08-25 15:00:00+09:00,1.03,3.295659324433108,2014,8,2014-08-25
2014-08-26 15:00:00+09:00,2.29,4.1252166984427845,2014,8,2014-08-26
2014-08-27 15:00:00+09:00,2.82,4.665163640417884,2014,8,2014-08-27
2014-08-28 15:00:00+09:00,4.0,6.3946969870101285,2014,8,2014-08-28
2014-08-29 15:00:00+09:00,2.91,6.448474596325363,2014,8,2014-08-29
2014-08-31 15:00:00+09:00,4.33,5.102047591659579,2014,8,2014-08-31
2014-09-01 15:00:00+09:00,4.63,6.0231842399380175,2014,9,2014-09-01
2014-09-02 15:00:00+09:00,1.41,4.498206428716129,2014,9,2014-09-02
2014-09-03 15:00:00+09:00,0.63,1.4085142460381088,2014,9,2014-09-03
2014-09-04 15:00:00+09:00,5.41,6.8204792059912975,2014,9,2014-09-04
2014-09-05 15:00:00+09:00,5.7,6.39584430985556,2014,9,2014-09-05
2014-09-06 15:00:00+09:00,5.45,6.835607102891313,2014,9,2014-09-06
2014-09-07 15:00:00+09:00,2.77,6.449628491477259,2014,9,2014-09-07
2014-09-08 15:00:00+09:00,3.27,5.268094131680763,2014,9,2014-09-08
2014-09-09 15:00:00+09:00,3.77,6.2005391954166535,2014,9,2014-09-09
2014-09-10 15:00:00+09:00,6.43,7.151494751929361,2014,9,2014-09-10
2014-09-11 15:00:00+09:00,5.74,6.523457739317332,2014,9,2014-09-11
2014-09-12 15:00:00+09:00,0.68,3.85162919191629,2014,9,2014-09-12
2014-09-14 15:00:00+09:00,3.97,6.694775072761179,2014,9,2014-09-14
2014-09-15 15:00:00+09:00,3.6,6.040282230719094,2014,9,2014-09-15
2014-09-16 15:00:00+09:00,5.83,7.478343259494268,2014,9,2014-09-16
2014-09-17 15:00:00+09:00,1.1,2.7572575869151845,2014,9,2014-09-17
2014-09-18 15:00:00+09:00,7.25,7.676425956475988,2014,9,2014-09-18
2014-09-19 15:00:00+09:00,5.03,7.6751516116185226,2014,9,2014-09-19
2014-09-20 15:00:00+09:00,6.85,7.7552930946562615,2014,9,2014-09-20
2014-09-21 15:00:00+09:00,2.62,1.8736605687297063,2014,9,2014-09-21
2014-09-22 15:00:00+09:00,6.57,7.859651511343312,2014,9,2014-09-22
2014-09-23 15:00:00+09:00,5.3,7.873441194252123,2014,9,2014-09-23
2014-09-24 15:00:00+09:00,4.47,3.7828666020193435,2014,9,2014-09-24
2014-09-25 15:00:00+09:00,3.62,7.138744322076456,2014,9,2014-09-25
2014-09-26 15:00:00+09:00,1.51,3.1792593472663953,2014,9,2014-09-26
2014-09-27 15:00:00+09:00,2.78,3.5816159873014723,2014,9,2014-09-27
2014-09-28 15:00:00+09:00,1.32,2.6162424523453383,2014,9,2014-09-28
2014-09-29 15:00:00+09:00,0.37,0.9752896764852154,2014,9,2014-09-29
2014-09-30 15:00:00+09:00,3.67,5.7677749458050425,2014,9,2014-09-30
2014-10-01 15:00:00+09:00,4.77,5.306644618121023,2014,10,2014-10-01
2014-10-02 15:00:00+09:00,0.5,0.7073912839201132,2014,10,2014-10-02
2014-10-03 15:00:00+09:00,7.57,8.691282908248882,2014,10,2014-10-03
2014-10-04 15:00:00+09:00,6.1,6.383994400976016,2014,10,2014-10-04
2014-10-05 15:00:00+09:00,7.04,8.854582923950055,2014,10,2014-10-05
2014-10-06 15:00:00+09:00,7.04,8.951060782784534,2014,10,2014-10-06
2014-10-07 15:00:00+09:00,5.66,5.877945652918378,2014,10,2014-10-07
2014-10-08 15:00:00+09:00,3.89,5.9040011100379735,2014,10,2014-10-08
2014-10-09 15:00:00+09:00,6.46,8.930382833671088,2014,10,2014-10-09
2014-10-10 15:00:00+09:00,6.2,8.974236837014628,2014,10,2014-10-10
2014-10-11 15:00:00+09:00,6.57,9.073270352382528,2014,10,2014-10-11
2014-10-12 15:00:00+09:00,4.01,8.935901126518504,2014,10,2014-10-12
2014-10-13 15:00:00+09:00,5.77,9.443966976571552,2014,10,2014-10-13
2014-10-14 15:00:00+09:00,6.31,9.491294158827127,2014,10,2014-10-14
2014-10-15 15:00:00+09:00,5.63,9.616422451268189,2014,10,2014-10-15
2014-10-16 15:00:00+09:00,6.55,9.70202428973286,2014,10,2014-10-16
2014-10-17 15:00:00+09:00,6.21,9.643450475994534,2014,10,2014-10-17
2014-10-18 15:00:00+09:00,4.65,9.5585745647207,2014,10,2014-10-18
2014-10-19 15:00:00+09:00,1.29,2.58411191071868,2014,10,2014-10-19
2014-10-20 15:00:00+09:00,0.41,1.7999902428684025,2014,10,2014-10-20
2014-10-21 15:00:00+09:00,0.35,0.8554250271327742,2014,10,2014-10-21
2014-10-22 15:00:00+09:00,1.74,3.027126123056465,2014,10,2014-10-22
2014-10-23 15:00:00+09:00,4.81,9.93574276301116,2014,10,2014-10-23
2014-10-24 15:00:00+09:00,3.86,6.36201278910702,2014,10,2014-10-24
2014-10-26 15:00:00+09:00,1.85,2.8199128015971264,2014,10,2014-10-26
2014-10-27 15:00:00+09:00,4.7,9.894547759806926,2014,10,2014-10-27
2014-10-28 15:00:00+09:00,5.49,10.21596286638946,2014,10,2014-10-28
2014-10-29 15:00:00+09:00,3.37,10.17074499346561,2014,10,2014-10-29
2014-10-30 15:00:00+09:00,1.38,4.345046729501222,2014,10,2014-10-30
2014-10-31 15:00:00+09:00,0.45,1.4140221973999636,2014,10,2014-10-31
2014-11-01 15:00:00+09:00,3.39,6.3572528171563825,2014,11,2014-11-01
2014-11-02 15:00:00+09:00,6.1,10.67299805479442,2014,11,2014-11-02
2014-11-03 15:00:00+09:00,6.16,10.702558075019626,2014,11,2014-11-03
2014-11-04 15:00:00+09:00,5.37,10.49725498966359,2014,11,2014-11-04
2014-11-05 15:00:00+09:00,1.42,7.09448722954579,2014,11,2014-11-05
2014-11-06 15:00:00+09:00,2.32,6.3685907537669575,2014,11,2014-11-06
2014-11-07 15:00:00+09:00,2.99,7.608975835347593,2014,11,2014-11-07
2014-11-10 15:00:00+09:00,5.5,10.77087632801565,2014,11,2014-11-10
2014-11-11 15:00:00+09:00,2.11,5.109580394066571,2014,11,2014-11-11
2014-11-12 15:00:00+09:00,2.64,5.5136594689858285,2014,11,2014-11-12
2014-11-13 15:00:00+09:00,7.13,11.579793608478964,2014,11,2014-11-13
2014-11-14 15:00:00+09:00,1.81,11.026373550743957,2014,11,2014-11-14
2014-11-15 15:00:00+09:00,5.76,11.313370591414197,2014,11,2014-11-15
2014-11-16 15:00:00+09:00,1.9,10.790835203563617,2014,11,2014-11-16
2014-11-17 15:00:00+09:00,1.38,10.487862077753547,2014,11,2014-11-17
2014-11-18 15:00:00+09:00,6.22,11.292572777835467,2014,11,2014-11-18
2014-11-19 15:00:00+09:00,4.66,10.757733724719557,2014,11,2014-11-19
2014-11-20 15:00:00+09:00,4.14,11.209920907555551,2014,11,2014-11-20
2014-11-21 15:00:00+09:00,0.67,1.2919323780501364,2014,11,2014-11-21
2014-11-22 15:00:00+09:00,1.2,5.2162775263723065,2014,11,2014-11-22
2014-11-23 15:00:00+09:00,1.76,2.525745655573873,2014,11,2014-11-23
2014-11-24 15:00:00+09:00,0.38,1.7712200619203564,2014,11,2014-11-24
2014-11-25 15:00:00+09:00,0.59,3.023654483573758,2014,11,2014-11-25
2014-11-26 15:00:00+09:00,5.46,11.303004664462204,2014,11,2014-11-26
2014-11-27 15:00:00+09:00,1.89,3.4553447604404086,2014,11,2014-11-27
2014-11-29 15:00:00+09:00,3.09,11.529819288962704,2014,11,2014-11-29
2014-12-01 15:00:00+09:00,2.34,5.6893628846137565,2014,12,2014-12-01
2014-12-02 15:00:00+09:00,7.32,12.537812435613587,2014,12,2014-12-02
2014-12-04 15:00:00+09:00,6.72,12.461119750969708,2014,12,2014-12-04
2014-12-05 15:00:00+09:00,7.12,12.606964105744042,2014,12,2014-12-05
2014-12-06 15:00:00+09:00,5.76,12.5358013080371,2014,12,2014-12-06
2014-12-07 15:00:00+09:00,2.81,7.407458599999307,2014,12,2014-12-07
2014-12-08 15:00:00+09:00,6.71,12.37340985517588,2014,12,2014-12-08
2014-12-09 15:00:00+09:00,6.1,12.329330933893864,2014,12,2014-12-09
2014-12-10 15:00:00+09:00,0.73,1.6593536343716688,2014,12,2014-12-10
2014-12-11 15:00:00+09:00,6.15,7.828552598335228,2014,12,2014-12-11
2014-12-12 15:00:00+09:00,0.5,1.8252386160494127,2014,12,2014-12-12
2014-12-14 15:00:00+09:00,0.45,2.6232635867279908,2014,12,2014-12-14
2014-12-15 15:00:00+09:00,0.16,1.03051677753392,2014,12,2014-12-15
2014-12-16 15:00:00+09:00,8.03,12.767077013713546,2014,12,2014-12-16
2014-12-17 15:00:00+09:00,5.34,8.784926826175196,2014,12,2014-12-17
2014-12-18 15:00:00+09:00,7.48,12.945001918346913,2014,12,2014-12-18
2014-12-19 15:00:00+09:00,0.61,2.5553535920464774,2014,12,2014-12-19
2014-12-20 15:00:00+09:00,8.85,12.882426050060372,2014,12,2014-12-20
2014-12-21 15:00:00+09:00,4.87,6.989313948137071,2014,12,2014-12-21
2014-12-22 15:00:00+09:00,8.21,3.9662185949274313,2014,12,2014-12-22
2014-12-23 15:00:00+09:00,1.16,4.215737630390535,2014,12,2014-12-23
2014-12-26 15:00:00+09:00,8.03,12.747554928851807,2014,12,2014-12-26
2014-12-27 15:00:00+09:00,4.93,12.671091619274163,2014,12,2014-12-27
2014-12-28 15:00:00+09:00,0.31,1.9831762306506195,2014,12,2014-12-28
2014-12-30 15:00:00+09:00,6.52,12.693872944777135,2014,12,2014-12-30
2015-01-01 15:00:00+09:00,9.27,13.438375770450284,2015,1,2015-01-01
2015-01-02 15:00:00+09:00,9.78,13.300313454236164,2015,1,2015-01-02
2015-01-03 15:00:00+09:00,6.28,12.933070288340998,2015,1,2015-01-03
2015-01-04 15:00:00+09:00,5.2,12.636226448878851,2015,1,2015-01-04
2015-01-05 15:00:00+09:00,1.3,7.9371645946053695,2015,1,2015-01-05
2015-01-06 15:00:00+09:00,10.44,13.243622112741873,2015,1,2015-01-06
2015-01-08 15:00:00+09:00,8.72,12.807444566284161,2015,1,2015-01-08
2015-01-09 15:00:00+09:00,6.72,12.984229923909789,2015,1,2015-01-09
2015-01-11 15:00:00+09:00,8.35,13.035792916619053,2015,1,2015-01-11
2015-01-12 15:00:00+09:00,8.29,12.981976570413265,2015,1,2015-01-12
2015-01-13 15:00:00+09:00,5.32,12.505933850806205,2015,1,2015-01-13
2015-01-14 15:00:00+09:00,0.44,2.3379949814619776,2015,1,2015-01-14
2015-01-15 15:00:00+09:00,6.95,12.592283202868336,2015,1,2015-01-15
2015-01-17 15:00:00+09:00,9.57,13.168856658014894,2015,1,2015-01-17
